outDryBulbTemp;outHumidityRatio;outRelHumidity;directSolarRad;solAzimAngle;solAltAngle;zoneMeanAirTemp;setpoint;month;hour;totHTG
7.2;0.00431057634350122;67;0;0.689817052499754;-71.4606748967962;19.5464820028223;19.5464820028419;1;0;4.53672974838417
7.2;0.00431057634350122;67;0;38.2073403525405;-67.7315069237356;19.2566475346313;19.2566475313194;1;1;4.51852923917452
6.1;0.00417433002420216;70;0;62.5362789265591;-59.028240893889;19.7814378388228;19.7814378407851;1;2;5.27500060186442
6.1;0.00417433002420216;70;0;77.740740840032;-48.4820411935052;18.8309427376095;18.8309427375393;1;3;5.62703713057022
5.6;0.00420525380463371;73;0;88.9481136646928;-37.3588358835456;19.7784811921637;19.7784811926874;1;4;6.04881041284487
5.6;0.0040892838933404;71;0;98.4932700783811;-26.1846257398578;19.7554207819181;19.7554207803828;1;5;5.37669547477298
5.6;0.0040892838933404;71;0;107.53266145402;-15.2724767586339;18.3647709892209;18.364770989219;1;6;6.13540182618869
5;0.00397661815226063;72;0;116.775900209957;-4.89668559000794;18.2357808556479;18.2357808542551;1;7;4.79557956553096
5;0.00397661815226063;72;97.5;126.758865557408;4.63180620621656;18.0961987437477;18.0961987427789;1;8;4.69896622250451
5.6;0.00391540954541496;68;149.5;137.923624833279;12.920843137051;18.5045052139482;18.5045052139752;1;9;3.9184383038596
6.7;0.003913973011907;63;93;150.56901412344;19.4790958190521;19.5725135566059;19.5725135566096;1;10;3.78267250594567
7.2;0.00392212038122822;61;206.5;164.682980071335;23.7558560495878;20.5241059384209;20.5241059384251;1;11;3.66551624753204
7.8;0.00388511894475992;58;279;179.757448644459;25.2778750641463;18.9192360321625;18.9192360321625;1;12;2.07575846749424
8.9;0.00389771880368796;54;402;194.84842770186;23.8486039018925;18.5734816359616;18.5734816359616;1;13;0.70933759621896
9.4;0.00388201141927951;52;539;209.003634233857;19.6530774554867;18.1953582224074;18.1953582224074;1;14;0.0128423607914078
9.4;0.00388201141927951;52;397;221.698133047124;13.1588191989362;20.8380300641999;20.8380300641999;1;15;0.640927239788276
9.4;0.00388201141927951;52;146.5;232.90646216596;4.91673913074703;18.7342986502314;18.7342986502314;1;16;1.58420654212753
8.9;0.00397035953664415;55;0;242.920690221943;-4.57890096181541;19.8762125479229;19.876212547923;1;17;3.85215170264647
8.3;0.0040204559086425;58;0;252.179758380836;-14.9328763359591;18.6200205074034;18.6200205074034;1;18;4.68518292557243
7.2;0.00398682957435093;62;0;261.21606362685;-25.8322406394133;18.7252293116024;18.7252293119428;1;19;4.00786591616348
7.2;0.00398682957435093;62;0;270.730892966746;-37.0024504142229;20.2302377906938;20.2302377907277;1;20;5.97990317188281
6.7;0.00410158174026785;66;0;281.8588709244;-48.133477847884;18.4680114453483;18.4680114453483;1;21;5.95135277903876
6.7;0.00410158174026785;66;0;296.877444606492;-58.7111427611319;20.4695168384437;20.4695168384496;1;22;6.68111257226521
6.1;0.00411430227310405;69;0;320.800342158699;-67.5086312591507;18.281956258046;18.2819562580459;1;23;6.2070466460534
6.1;0.00411430227310405;69;0;1.02197861710232;-71.3770235908955;20.9393931642408;20.9393931643279;1;0;7.18204404106144
5.6;0.0040892838933404;71;0;37.8545911796185;-67.7136748221772;19.9596622414788;19.9596622409294;1;1;6.30735527903849
5.6;0.00403131504447881;70;0;62.2768786756015;-59.0479992247092;18.852342903901;18.8523429037758;1;2;5.89604034989347
5;0.00397661815226063;72;0;77.5439796957893;-48.5167006930609;20.6016983960282;20.6016983960452;1;3;7.4972296004898
5;0.00397661815226063;72;0;88.7854869059557;-37.3975596072188;18.0904195367417;18.0904195367412;1;4;6.95331435303529
4.4;0.00386553484145306;73;0;98.3486236329089;-26.2214599418123;20.2828151333161;20.2828151333641;1;5;7.56654028219635
4.4;0.00386553484145306;73;0;107.3964814774;-15.3032072547089;20.688530743762;20.6885309106752;1;6;6.31311984932706
4.4;0.00381225775119185;72;0;116.642125088108;-4.91754815047659;19.8566239496203;19.8566239483485;1;7;6.98501906567247
4.4;0.00381225775119185;72;47;126.623704359514;4.62470138610945;20.1622364456961;20.1622365013767;1;8;5.96984276720387
5;0.00380991078769238;69;97;137.785654639706;12.9316534186261;19.3915500186292;19.3915500174273;1;9;5.17573531146246
5.6;0.00368372725849371;64;83;150.430181008794;19.5118403715366;20.2766592708382;20.2766592709032;1;10;4.82069676272978
6.7;0.00372647668580222;60;110;164.549561571723;23.8132567164975;18.0214259248755;18.0214259248755;1;11;4.31122905784624
