outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneHTGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneHTGstpPrev,hourPrev,totHTGPrev,totHTG
4.4,0.00436049067099605,82,0,34.6517122166478,-68.4183254263371,18.1616339000296,18.1616339000276,1,1,4.4,0.00436049067099605,82,0,5.35459820808143,-71.3568591035469,20.3890499080249,20.3890499081785,0,5.83076010017382,7.24862352244582
3.9,0.00441579774883304,86,0,60.4165123747851,-60.0727438886189,18.2176217720529,18.2176217733537,1,2,4.4,0.00436049067099605,82,0,34.6517122166478,-68.4183254263371,18.1616339000296,18.1616339000276,1,7.24862352244582,5.24935317724148
3.9,0.00441579774883304,86,0,76.3056908093825,-49.6526301404012,18.0815088920223,18.0815088888447,1,3,3.9,0.00441579774883304,86,0,60.4165123747851,-60.0727438886189,18.2176217720529,18.2176217733537,2,5.24935317724148,5.31793740452595
3.3,0.00428110329364613,87,0,87.8135719626605,-38.5676988064653,20.3833376631009,20.3833376632839,1,4,3.9,0.00441579774883304,86,0,76.3056908093825,-49.6526301404012,18.0815088920223,18.0815088888447,3,5.31793740452595,8.22172361854762
2.8,0.00432235459942991,91,0,97.4815351090282,-27.3889169997676,19.3260592444592,19.3260592427664,1,5,3.3,0.00428110329364613,87,0,87.8135719626605,-38.5676988064653,20.3833376631009,20.3833376632839,4,8.22172361854762,7.31369622670316
2.2,0.00427789204884138,94,0,106.545897204246,-16.4415413412556,20.0687406580901,20.0687407152876,1,6,2.8,0.00432235459942991,91,0,97.4815351090282,-27.3889169997676,19.3260592444592,19.3260592427664,5,7.31369622670316,7.29707580770357
1.7,0.0042150714774895,96,0,115.746907916174,-5.99992632462883,20.7511317700029,20.7511319267004,1,7,2.2,0.00427789204884138,94,0,106.545897204246,-16.4415413412556,20.0687406580901,20.0687407152876,6,7.29707580770357,7.91365666338422
1.7,0.0042150714774895,96,83.5,125.632901473082,3.6313167966469,18.2034548954176,18.2034548954043,1,8,1.7,0.0042150714774895,96,0,115.746907916174,-5.99992632462883,20.7511317700029,20.7511319267004,7,7.91365666338422,8.67968737899407
2.2,0.00409465568620667,90,310.5,136.655857808438,12.0703812548431,19.3853065052648,19.3853065057814,1,9,1.7,0.0042150714774895,96,83.5,125.632901473082,3.6313167966469,18.2034548954176,18.2034548954043,8,8.67968737899407,6.23159822247467
3.9,0.00410568520958384,80,376.5,149.135671966596,18.8365513711857,19.4125246006299,19.4125246006512,1,10,2.2,0.00409465568620667,90,310.5,136.655857808438,12.0703812548431,19.3853065052648,19.3853065057814,9,6.23159822247467,3.35219618003119
5.6,0.00410344419720972,71,488.5,163.103813359089,23.3815963034435,20.394386753624,20.3943867536244,1,11,3.9,0.00410568520958384,80,376.5,149.135671966596,18.8365513711857,19.4125246006299,19.4125246006512,10,3.35219618003119,2.97575786915815
7.2,0.004065580947393,63,432,178.110407197486,25.2153607604135,20.5097138488746,20.5097138488746,1,12,5.6,0.00410344419720972,71,488.5,163.103813359089,23.3815963034435,20.394386753624,20.3943867536244,11,2.97575786915815,0.97764421627938
8.9,0.0041299439506074,57,204.5,193.245194964508,24.103615075983,19.2723212164635,19.2723212164635,1,13,7.2,0.004065580947393,63,432,178.110407197486,25.2153607604135,20.5097138488746,20.5097138488746,12,0.97764421627938,1.34787720093591
10,0.00413520102321018,53,187,207.533703894104,20.1911596450263,20.990695774141,20.990695774141,1,14,8.9,0.0041299439506074,57,204.5,193.245194964508,24.103615075983,19.2723212164635,19.2723212164635,13,1.34787720093591,1.93267726196428
10,0.00413520102321018,53,154,220.395276936825,13.9235614585885,18.2408962708713,18.2408962708713,1,15,10,0.00413520102321018,53,187,207.533703894104,20.1911596450263,20.990695774141,20.990695774141,14,1.93267726196428,1.41736780062838
9.4,0.0041971215187405,56,78.5,231.757109062911,5.85047954242797,18.1593407688827,18.1593407688827,1,16,10,0.00413520102321018,53,154,220.395276936825,13.9235614585885,18.2408962708713,18.2408962708713,15,1.41736780062838,1.41074564507503
8.9,0.0042028887069173,58,0,241.886265576704,-3.52465730667251,19.2391052972402,19.2391052972426,1,17,9.4,0.0041971215187405,56,78.5,231.757109062911,5.85047954242797,18.1593407688827,18.1593407688827,16,1.41074564507503,3.61862635277962
7.2,0.0041955176142759,65,0,251.21019294236,-13.7962093265417,18.3473625852241,18.3473625852212,1,18,8.9,0.0042028887069173,58,0,241.886265576704,-3.52465730667251,19.2391052972402,19.2391052972426,17,3.61862635277962,4.34059943008054
6.1,0.00430929559986265,72,0,260.249903391401,-24.6440017034708,19.2278016526993,19.2278016527924,1,19,7.2,0.0041955176142759,65,0,251.21019294236,-13.7962093265417,18.3473625852241,18.3473625852212,18,4.34059943008054,5.30117999100746
